Platebarcode	Well	nrCells	area	intensity
PLATE11005	D4	10639	38.8032615062523	0.0194882481010509
PLATE11005	D5	10225	38.2262630184248	0.0182001499329132
PLATE11005	D6	10210	39.1571863283164	0.0188557560090268
PLATE11005	D7	45228	59.4567264960046	0.0327226649628208
PLATE11005	D8	31835	56.6006136226033	0.0303018308285568
PLATE11005	D9	33697	57.6228933631284	0.0282490831369025
PLATE11005	D10	50607	61.0998515707376	0.0371450665673928
PLATE11005	D11	37936	58.7657795775154	0.0308211798599749
PLATE11005	D12	38532	60.4292567528477	0.0315110228072354
PLATE11005	E1	10221	38.4333441842445	0.0178645397909731
PLATE11005	E2	10227	38.2520125326129	0.0188120251590404
PLATE11005	E3	10270	37.5181153756074	0.0178443907700467
PLATE11005	E4	10109	35.2361388584218	0.0194175409475615
PLATE11005	E5	10160	38.1784661140839	0.0173179640104037
PLATE11005	E6	10141	37.0237970730903	0.018859016211849
PLATE11005	E7	33368	58.1767000699988	0.0274369830298415
PLATE11005	E8	25115	55.3127572659523	0.0256312909439092
PLATE11005	E9	31875	58.3382603201542	0.0280664048640401
PLATE11005	E10	34630	59.3904354413528	0.0302833340828724
PLATE11005	E11	26017	53.871079795739	0.0242916460853358
PLATE11005	E12	38687	61.308853307212	0.0316071570928336
PLATE11005	F1	10351	35.4507564104783	0.0171657133223445
PLATE11005	F2	9982	34.6537936991577	0.0191028686230148
PLATE11005	F3	9516	33.4083348252301	0.0172693215527157
PLATE11005	F4	13336	39.1432704473758	0.0165777172897998
PLATE11005	F5	9918	36.328658935339	0.016032611051558
PLATE11005	F6	10778	38.1242975710371	0.0173955960562008
PLATE11005	F7	17729	51.3206231754162	0.0222256836732707
PLATE11005	F8	31890	58.8759021699562	0.029068737539215
PLATE11005	F9	32087	59.7223341234378	0.0272778163928047
PLATE11005	F10	20680	54.0963471783143	0.0264505445814298
PLATE11005	F11	9390	33.4836453969073	0.0175818797636552
PLATE11005	F12	35497	62.3121930471264	0.0313454746205132
PLATE11005	G1	10154	35.4317910589743	0.0188595919455347
PLATE11005	G2	9929	35.7852034598593	0.0198118456274484
PLATE11005	G3	9750	38.5239483817778	0.0170553862062759
PLATE11005	G4	13153	40.755870853271	0.0172153997906127
PLATE11005	G5	10204	38.3797646713448	0.0178202296588683
PLATE11005	G6	10076	39.02216810546	0.0186706012034938
PLATE11005	G7	34732	58.6794045895273	0.0291485390405014
PLATE11005	G8	32414	60.4444561447549	0.0312725452113117
PLATE11005	G9	30152	59.446216897061	0.0280660342653825
PLATE11005	G10	31459	60.5284103214892	0.029836952191213
